Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
145,1416,1416,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.32705011,-148.7884871,Field community name,"Dryas integrifolia, Cassiope tetragona, Cetraria nivalis dwarf shrub, fruticose lichen tundra","Shallow nonacidic snowbeds (Cassiope-Dryas-Tomentypnum, and Cassiope-Dryas-lichen communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1416_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1416_plotclose-up.jpg,,
146,1417,1417,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.32704044,-148.7887746,Field community name,"Salix rotundifolia, Equisetum scorpioides dwarf shrub tundra","Moderately drained deep snowbeds (Salix rotundifolia, S. polaris, S. herbacea snowbeds)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1417_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1417_plotclose-up.jpg,,
147,1418,1418,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.32905333,-148.7859765,Field community name,"Festuca baffinensis, Papaver macounii, Ranunculus pedatifidus forb, grass tundra","Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1418_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1418_plotlandscape.jpg,,
148,1419,1419,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.33066996,-148.7780526,Field community name,"Saxifraga oppositifolia, Juncus biglumis forb barren","Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1419_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1419_plotclose-up.jpg,,
149,1420,1420,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.3276154,-148.7803501,Field community name,"Carex aquatilis, Carex rariflora, Saxifraga foliolosa sedge, forb tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),,,,
150,1421,1421,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.32,-148.78,Field community name,"Dryas integrifolia, Salix reticulata, Cetraria richardsonii dwarf shrub, fruticose lichen tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),,,,
151,1501,1501,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.2705705,-148.4886467,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1501_plot.jpg,"http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1501_plotclose-up,%20.jpg",,
152,1502,1502,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27066474,-148.4908738,Field community name,"Festuca baffinensis, Papaver macounii, Ranunculus pedatifidus forb, grass tundra","Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1502_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1502_plotlandscape.jpg,,
153,1503,1503,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27113572,-148.4929296,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1503_plot.jpg,,,
154,1504,1504,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27115629,-148.4956751,Field community name,"Eriophorum angustifolium, Dryas integrifolia, Tomenthypnum nitens, Thamnolia subuliformis sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1504_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1504_plotclose-up.jpg,,
155,1505,1505,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27084539,-148.4957249,Field community name,"Dryas integrifolia, Saxifraga oppositifolia, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1505_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1505_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1505_plotlandscape.jpg,
156,1506,1506,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26991818,-148.4959104,Field community name,"Saxifraga oppositifolia, Juncus biglumis forb barren","Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1506_plot.jpg,,,
157,1507,1507,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26929685,-148.497447,Field community name,"Dryas integrifolia, Astragalus alpinus dwarf shrub, forb tundra","Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1507_%20plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1507_plotclose-up.jpg,,
158,1508,1508,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27018585,-148.4976959,Field community name,"Carex aquatilis, Salix rotundifolia sedge, dwarf tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1508_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1508_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1508_plotlandscape.jpg,
159,1509,1509,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27081442,-148.4966012,Field community name,"Dryas integrifolia, Cassiope tetragona, Cetraria nivalis dwarf shrub, fruticose lichen tundra","Shallow nonacidic snowbeds (Cassiope-Dryas-Tomentypnum, and Cassiope-Dryas-lichen communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1509_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1509_plotclose-up.jpg,,
160,1510,1510,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26992486,-148.5009262,Field community name,"Eriophorum angustifolium, Dryas integrifolia, Tomenthypnum nitens, Thamnolia subuliformis sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1510_plot.jpg,,,
161,1511,1511,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26924906,-148.5021457,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1511_%20plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1511_plotclose-up.jpg,,
162,1512,1512,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.26951896,-148.5035276,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1512_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1512_plotclose-up.jpg,,
163,1513,1513,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27686626,-148.4927581,Field community name,"Dryas integrifolia, Saxifraga oppositifolia, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1513_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1513_plotclose-up.jpg,,
164,1514,1514,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27511193,-148.4900524,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1514_%20plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1514_plotclose-up.jpg,,
165,1515,1515,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27500548,-148.492317,Field community name,"Eriophorum angustifolium, Dryas integrifolia, Tomenthypnum nitens, Thamnolia subuliformis sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1515_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1515_plotclose-up.jpg,,
166,1516,1516,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27332274,-148.4852024,Field community name,"Carex aquatilis, Drepanocladus brevifolius sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1516_%20plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1516_plotclose-up.jpg,,
167,1517,1517,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27277948,-148.4822839,Field community name,"Carex aquatilis, Scorpidium scorpioides sedge tundra","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1517_plot.jpg,http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1517_plotclose-up.jpg,,
168,1518,1518,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27118755,-148.4812872,Field community name,Carex aquatilis sedge tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1518_plot.jpg,,,
169,1519,1519,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27118755,-148.4812872,Field community name,"Carex aquatilis, Dryas integrifolia, Salix arctica, Tomenthypnum nitens sedge, dwarf shrub tundra",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Percentage (%),http://static.gina.alaska.edu/geobotany/Prudhoe_Bay_Photos/prudhoebay_1519_plot.jpg,,,
170,1520,1520,1974,1974,Prudhoe Bay (D. A. Walker 1985),"Donald ""Skip"" A. Walker",70.27889777,-148.4802363,Field community name,"Dryas integrifolia, Carex rupestris, Oxytropis nigrescens, Lecanora epibryon dwarf shrub, crustose lichen tundra","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Percentage (%),,,,
