Releve number,Field releve number,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,Image_url1,Image_url2
223,SW44A,19850821,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615561,-149.303172,Braun-Blanquet name,Carci microchaetae-Cassiopetum tetragonae Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-44_plot.jpg,
224,SW44B,19850821,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615561,-149.303172,Field name,"Cassiope tetragona, Salix phlebophylla, Luzula arctica, Rhacomitrium lanuginosum barren.",Shallow acidic snowbeds (Cassiope-Carex microchaeta-Hylocomium communities),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-44_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-44_soils.jpg
225,SW45,19850821,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615475,-149.303255,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-45_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-45_soils.jpg
226,SW46,19850823,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.618,-149.296,Braun-Blanquet name,Sphagno-Eriphoretum vaginati subass. betuletosum nanae Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-46_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-46_soils.jpg
227,SW47,19850823,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.618,-149.297,Field name,"Carex aquatilis, Salix chamissonis, S. fuscescens, Drepanocladus uncinatus, Aulacomnium palustre sedge, dwarf-shrub tundra.",,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-47_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-47_soils.jpg
228,SW48,19850823,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.618519,-149.295733,Braun-Blanquet name,Sphagno-Eriphoretum vaginati subass. betuletosum nanae Walker et al. 1994,Moist to wet acidic low-shrub heaths (wet to moist Betula nana-Sphagnum heaths),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-48_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-48_soils.jpg
229,SW49,19850823,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.619,-149.2957,Field name,"Salix planifolia ssp. pulchra, Eriophorum angustifolium, Carex aquatilis, Drepanocladus uncinatus, Hylocomium splendens low-shrub tundra.",Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-49_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-49_soils.jpg
230,SW50,19850823,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.61905,-149.294561,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-50_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-50_soils.jpg
231,SW51,19850824,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.619615,-149.295539,Braun-Blanquet name,Salici phlebophyllae-Arctoetum alpinae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-51_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-51_soils.jpg
232,SW52,19850824,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.619778,-149.294451,Braun-Blanquet name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Dry acidic tundra (Dryas octopetala),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-52_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-52_soils.jpg
233,SW53,19850824,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.619986,-149.294812,Braun-Blanquet name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Dry acidic tundra (Dryas octopetala),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-53_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-53_soils.jpg
234,SW54,19850824,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.620237,-149.294724,Braun-Blanquet name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Dry acidic tundra (Dryas octopetala),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-54_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-54_soils.jpg
235,SW55,19850824,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.620406,-149.294955,Braun-Blanquet name,Carci microchaetae-Cassiopetum tetragonae Walker et al. 1994,Shallow acidic snowbeds (Cassiope-Carex microchaeta-Hylocomium communities),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-55_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-55_soils.jpg
236,SW56,19850825,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.620554,-149.294658,Braun-Blanquet name,Carci microchaetae-Cassiopetum tetragonae Walker et al. 1994,Shallow acidic snowbeds (Cassiope-Carex microchaeta-Hylocomium communities),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-56_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-56_soils.jpg
237,SW57,19850825,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.620739,-149.290932,Braun-Blanquet name,Carci microchaetae-Cassiopetum tetragonae Walker et al. 1994,Shallow acidic snowbeds (Cassiope-Carex microchaeta-Hylocomium communities),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-57_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-57_soils.jpg
238,SW58A,19850825,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.619776,-149.284329,Braun-Blanquet name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Dry acidic tundra (Dryas octopetala),Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-58_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-58_soils.jpg
239,SW58B,19850825,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.619776,-149.284329,Field name,"Carex rupestris, Minuartia obtusiloba, Silene acaulis, Cornicularia divergens barren.","Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-58_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-58_soils.jpg
240,SW59,19850825,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.618633,-149.286424,Field name,"Cassiope tetragona, Dryas integrifolia, Vaccinium uliginosum, Salix reticulata, Tomenthypnum nitens, Ptilidium ciliare, Dactylina arctica, Cetraria spp., Thamnolia subuliformis dwarf-shrub, fruticose-lichen tundra.","Shallow nonacidic snowbeds (Cassiope-Dryas-Tomentypnum, and Cassiope-Dryas-lichen communities)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-59_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-59_soils.jpg
241,SW60,19850826,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.619176,-149.289707,Braun-Blanquet name,Salici phlebophyllae-Arctoetum alpinae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-60_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-60_soils.jpg
242,SW61,19850826,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,-9,-9,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-61_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-61_soils.jpg
243,SW62,19850826,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.617661,-149.291235,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-62_plot.jpg,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-62_soils.jpg
244,SW63,19850826,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.615927,-149.301127,Field name,"Rhizocarpon geographicum, Xanthoparmelia separata, X. centrifuga, Cornicularia divergens, Umbilicaria spp. lichen barren.",Lichen communities on silicate rocks,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-63_plot.jpg,
245,SW64,19850827,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616542,-149.323828,Field name,"Xanthoparmelia centrifuga, Rhizocarpon spp., Lecidea spp., Umbilicaria spp. lichen barren.",Lichen communities on silicate rocks,Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-64_plot.jpg,
246,SW65,19850826,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.618028,-149.31852,Field name,Sparganium hyperboreum forb marsh.,"Aquatic forb marshes (Hippuris, Sparganium, Menyanthes, Utricularia, Ranunculus communities)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-65_plot.jpg,
247,SW66,19850827,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616369,-149.318001,Field name,Sparganium hyperboreum forb marsh.,"Aquatic forb marshes (Hippuris, Sparganium, Menyanthes, Utricularia, Ranunculus communities)",Percentage (%),,http://static.gina.alaska.edu/geobotany/Imanavait_Creek_Photos/imnavaitcreek_sw-66_plot.jpg,
248,SW67,19850829,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.625,-149.305,Braun-Blanquet name,Sphagno-Eriophoretum vaginati subass. typicum Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",Percentage (%),,,
249,SW68,19850829,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.606,-149.312,Field name,"Calamagrostis canadensis, Salix chamissonis, Polemonium acutiflorum grass tundra.",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),Percentage (%),,,
250,SW69,19850830,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.616,-149.301,Field name,"Luzula arctica, Juncus biglumis barren.","Frost boil vegetation in acidic tundra (Anthelia, Juncus communities)",Percentage (%),,,
251,SW70,19850830,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.604,-149.23,Field name,"Vaccinium vitis-idaea, Luzula arctica, Juncus biglumis barren.","Frost boil vegetation in acidic tundra (Anthelia, Juncus communities)",Percentage (%),,,
252,SW71,19850831,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.625,-149.296,Field name,"Juncus biglumis, Eriophorum vaginatum barren.","Frost boil vegetation in acidic tundra (Anthelia, Juncus communities)",Percentage (%),,,
253,SW72,19850901,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.62,-149.304,Field name,"Salix rotundifolia, Saxifraga rivularis, Saxifraga nelsoniana, Hypnum sp., Stereocaulon tomentosum dwarf-shrub, moss tundra.","Moderately drained deep snowbeds (Salix rotundifolia, S. polaris, S. herbacea snowbeds)",Percentage (%),,,
254,SW73,19850901,1984,Imnavait Creek vegetation (Walker et al. 1987a),Donald A. 'Skip' Walker,68.62,-149.301,Field name,"Salix rotundifolia, Arnica lessingii, Carex microchaeta, Hypnum sp. dwarf-shrub tundra.","Moderately drained deep snowbeds (Salix rotundifolia, S. polaris, S. herbacea snowbeds)",Percentage (%),,,
