Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Cover abundance scale,Marker-symbol,image_url1,image_url2,image_url3
13075,CMDL_HC3,CMDL_HC3,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32152,-156.6056,Field Name,Dry lichen heath tundra,"Zonal habitats, with base rich soils, subzones B, C & D in North America including early-melting, base-rich (Cassiope-Tomentypnum) snowbeds.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_HC3.JPG,,
13076,CMDL_HC4,CMDL_HC4,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.3218,-156.60623,Field Name,Dry lichen heath tundra,"Zonal habitats, with base rich soils, subzones B, C & D in North America including early-melting, base-rich (Cassiope-Tomentypnum) snowbeds.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_HC4.JPG,,
13077,CMDL_HC5,CMDL_HC5,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32205,-156.60659,Field Name,Dry lichen heath tundra,"Zonal habitats, with base rich soils, subzones B, C & D in North America including early-melting, base-rich (Cassiope-Tomentypnum) snowbeds.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_HC5.JPG,,
13078,CMDL_TR1,CMDL_TR1,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32136,-156.60472,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra clacareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_T1.JPG,,
13079,CMDL_TR2,CMDL_TR2,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32144,-156.6053,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra clacareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_T2.JPG,,
13080,CMDL_TR3,CMDL_TR3,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32162,-156.60561,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra clacareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_T3.JPG,,
13081,CMDL_TR4,CMDL_TR4,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32187,-156.60642,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra clacareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_T4.JPG,,
13082,CMDL_TR5,CMDL_TR5,20140731,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,71.32208,-156.60682,Field Name,Wet sedge meadow tundra,"Moist to wet coastal sedge-grass tundra clacareous slightly saline soils (Carex stans-Saxifraga cernua, Dupontia fisheri)",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/CMDL_T5.JPG,,
13083,ATQ_T1,ATQ_T1,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46968,-157.40842,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T1.JPG,,
13084,ATQ_T3,ATQ_T3,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47013,-157.40611,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T3.JPG,,
13085,ATQ_T7,ATQ_T7,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46925,-157.40714,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T7.JPG,,
13086,ATQ_T13,ATQ_T13,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46847,-157.40987,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T13.JPG,,
13087,ATQ_T16,ATQ_T16,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.4696,-157.41043,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T16.JPG,,
13088,ATQ_T19,ATQ_T19,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46947,-157.41294,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T19.JPG,,
13089,ATQ_T22,ATQ_T22,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47036,-157.40983,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T22.JPG,,
13090,ATQ_T25,ATQ_T25,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.4715,-157.41069,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T25.JPG,,
13091,ATQ_T26,ATQ_T26,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46992,-157.40904,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T26.JPG,,
13092,ATQ_T28,ATQ_T28,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47075,-157.40867,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_T28.JPG,,
13093,ATQ_I2,ATQ_I2,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47,-157.40674,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I2.JPG,,
13094,ATQ_I8,ATQ_I8,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46925,-157.40674,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I8.JPG,,
13095,ATQ_I11,ATQ_I11,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46936,-157.40922,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I11.JPG,,
13096,ATQ_I14,ATQ_I14,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46804,-157.41035,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I14.JPG,,
13097,ATQ_I17,ATQ_I17,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46958,-157.41096,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I17.JPG,,
13098,ATQ_I19,ATQ_I19,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.4694,-157.41435,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I19.JPG,,
13099,ATQ_I21,ATQ_I21,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46974,-157.4092,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I21.JPG,,
13100,ATQ_I23,ATQ_I23,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47049,-157.40997,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I23.JPG,,
13101,ATQ_I26,ATQ_I26,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46981,-157.40912,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I26.JPG,,
13102,ATQ_I29,ATQ_I29,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47087,-157.40842,Field Name,Tussock tundra (sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_I29.JPG,,
13103,ATQ_W3,ATQ_W3,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47022,-157.4056,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W3.JPG,,
13104,ATQ_W6,ATQ_W6,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46945,-157.40839,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W6.JPG,,
13105,ATQ_W12,ATQ_W12,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46872,-157.40946,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W12.JPG,,
13106,ATQ_W14,ATQ_W14,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46796,-157.41046,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W14.JPG,,
13107,ATQ_W16,ATQ_W16,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.4696,-157.41001,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W16.JPG,,
13108,ATQ_W18,ATQ_W18,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.46945,-157.41318,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W18.JPG,,
13109,ATQ_W21,ATQ_W21,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.4701,-157.40967,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W21.JPG,,
13110,ATQ_W24,ATQ_W24,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47137,-157.41052,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W24.JPG,,
13111,ATQ_W27,ATQ_W27,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47064,-157.40892,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W27.JPG,,
13112,ATQ_W30,ATQ_W30,20140729,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,70.47162,-157.40873,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/ATQ_W30.JPG,,
13113,IVO_C3,IVO_C3,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48812,-155.7532,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C3.jpg,,
13114,IVO_C6,IVO_C6,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48835,-155.75265,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C6.jpg,,
13115,IVO_C9,IVO_C9,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48863,-155.75198,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C9.jpg,,
13116,IVO_C12,IVO_C12,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48887,-155.75139,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C12.jpg,,
13117,IVO_C15,IVO_C15,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48911,-155.75079,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C15.jpg,,
13118,IVO_C18,IVO_C18,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48912,-155.75208,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C18.jpg,,
13119,IVO_C21,IVO_C21,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48885,-155.75279,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C21.jpg,,
13120,IVO_C24,IVO_C24,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48865,-155.75322,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C24.jpg,,
13121,IVO_C27,IVO_C27,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48845,-155.75381,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_C27.jpg,,
13122,IVO_C30,IVO_C30,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48829,-155.75447,Field Name,Wet sedge meadow tundra,"Sedge-brown-moss fens, peats and peaty mineral soils.",Percent,,,,
13123,IVO_I1,IVO_I1,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.4867,-155.75002,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_I1.jpg,,
13124,IVO_I6,IVO_I6,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48675,-155.7487,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_I6.jpg,,
13125,IVO_I13,IVO_I13,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.4859,-155.74717,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_I13.jpg,,
13126,IVO_I16,IVO_I16,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48589,-155.74916,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_I16.jpg,,
13127,IVO_I22,IVO_I22,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48565,-155.75182,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_I22.jpg,,
13128,IVO_S3,IVO_S3,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.4883,-155.74873,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S3.jpg,,
13129,IVO_S5,IVO_S5,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48839,-155.74864,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S5.jpg,,
13130,IVO_S7,IVO_S7,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48852,-155.74856,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S7.jpg,,
13131,IVO_S12,IVO_S12,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48878,-155.74834,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S12.jpg,,
13132,IVO_S13,IVO_S13,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48887,-155.74825,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S13.jpg,,
13133,IVO_S18,IVO_S18,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48897,-155.7486,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S18.jpg,,
13134,IVO_S21,IVO_S21,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.4889,-155.74891,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S21.jpg,,
13135,IVO_S25,IVO_S25,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48873,-155.74924,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S25.jpg,,
13136,IVO_S29,IVO_S29,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48855,-155.74896,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S29.jpg,,
13137,IVO_S30,IVO_S30,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.4885,-155.74897,Field Name,Mixed shrub-sedge tussock tundra,Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_S30.jpg,,
13138,IVO_T4,IVO_T4,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48753,-155.7492,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_T4.jpg,,
13139,IVO_T9,IVO_T9,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48724,-155.74678,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_T9.jpg,,
13140,IVO_T10,IVO_T10,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48638,-155.74938,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_T10.jpg,,
13141,IVO_T19,IVO_T19,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48508,-155.74812,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_T19.jpg,,
13142,IVO_T27,IVO_T27,20140718,2014,Flux Towers-Zona  (Davidson et al. 2016a and Davidson 2016b),Scott J. Davidson,68.48714,-155.75168,Field Name,Tussock tundra (non-sandy substrates),Tussock tundra (Eriophorum vaginatum),Percent,,http://static.gina.alaska.edu/geobotany/flux_towers_zona/IVO_T27.jpg,,
