Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,"species - these are the dataset taxa, not the PASL taxa"
21,SWT-21,21,19890805,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623892,-149.607148,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii equisetosum arvensis Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",54,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-21_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-21_soils.jpg,,"Arctagrostis latifolia, Arnica angustifolia s. alpina, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Bistorta vivipara, Blepharostoma trichophyllum v. brevirete, Boykinia richardsonii, Cardamine digitata, Carex bigelowii, Cassiope tetragona [s. tetragona], Catoscopium nigritum, Cetraria islandica, Cladonia arbuscula s. lat., Cladonia rangiferina, Cyrtomnium hymenophyllum, Dactylina arctica, Dicranum spadiceum, Dryas integrifolia, Equisetum arvense, Fissidens osmundoides, Flavocetraria cucullata, Hylocomium splendens, Hypnum species, Lagotis glauca s. minor, Limprichtia revolvens, Loeskypnum badium, Meesia uliginosa, Papaver macounii, Pedicularis capitata, Pedicularis interior, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Petasites frigidus, Ptilidium ciliare, Pyrola grandiflora, Rhizomnium andrewsianum, Rhododendron lapponicum, Rhododendron tomentosum s. decumbens, Salix arctica, Salix pulchra, Salix reticulata, Saxifraga hirculus s. propinqua, Sphagnum rubellum, Sphagnum teres, Sphenolobus minutus, Stereocaulon alpinum, Tephroseris frigida, Tofieldia pusilla, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
22,SWT-22,22,19890805,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623912,-149.606399,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii caricetosum membranaceae Walker et al. 1994,Aquatic grass  marshes (Arctophila fulva),61,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-22_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-22_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-22_soils.jpg,"Alectoria ochroleuca, Andromeda polifolia, Arctagrostis latifolia, Arctous rubra, Aulacomnium turgidum, Bistorta vivipara, Blepharostoma trichophyllum v. brevirete, Campylium stellatum, Cardamine digitata, Carex bigelowii, Carex membranacea, Cassiope tetragona [s. tetragona], Catoscopium nigritum, Cinclidium arcticum, Cinclidium stygium, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia pyxidata, Cladonia rangiferina, Dactylina arctica, Dicranum elongatum, Dicranum spadiceum, Ditrichum flexicaule, Dryas integrifolia, Empetrum nigrum, Equisetum arvense, Eriophorum triste, Eriophorum vaginatum, Eutrema edwardsii, Flavocetraria cucullata, Hylocomium splendens, Limprichtia revolvens, Lophozia species, Meesia uliginosa, Mesoptychia sahlbergii, Micranthes hieraciifolia, Orthilia obtusata, Orthothecium chryseum, Pedicularis capitata, Pedicularis lanata, Peltigera aphthosa, Ptilidium ciliare, Pyrola grandiflora, Rhododendron lapponicum, Rhododendron tomentosum s. decumbens, Rubus chamaemorus, Salix glauca, Salix phlebophylla, Salix reticulata, Saussurea angustifolia, Saxifraga hirculus s. propinqua, Scapania simmonsii, Sphagnum aongstroemii, Sphagnum rubellum, Sphenolobus minutus, Thamnolia vermicularis s. subuliformis, Timmia norvegica, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
23,SWT-23,23,19890805,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623974,-149.605011,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii caricetosum membranaceae Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",52,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-23_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-23_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-23_soils.jpg,"Andromeda polifolia, Arctous rubra, Aulacomnium turgidum, Barbilophozia barbata, Bistorta vivipara, Campylium stellatum, Carex bigelowii, Carex membranacea, Carex riishirensis, Carex scirpoidea, Cassiope tetragona [s. tetragona], Catoscopium nigritum, Cetraria islandica, Cinclidium arcticum, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Cladonia rangiferina, Dactylina arctica, Dicranum elongatum, Dicranum spadiceum, Ditrichum flexicaule, Dryas integrifolia, Equisetum arvense, Eriophorum triste, Eriophorum vaginatum, Eutrema edwardsii, Flavocetraria cucullata, Flavocetraria nivalis, Hylocomium splendens, Hypnum bambergeri, Leiocolea rutheana, Limprichtia revolvens, Ochrolechia frigida, Pedicularis capitata, Pedicularis lanata, Pedicularis langsdorffii s. arctica, Philonotis fontana, Ptilidium ciliare, Racomitrium lanuginosum, Rhododendron lapponicum, Rhytidium rugosum, Saussurea angustifolia, Saxifraga hirculus s. propinqua, Scapania simmonsii, Stellaria longipes taxon laeta, Tephroseris frigida, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Tritomaria quinquedentata, Vaccinium uliginosum"
24,SWT-24,24,19890805,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624057,-149.604309,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii equisetosum arvensis Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",54,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-24_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-24_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-24_soils.jpg,"Andromeda polifolia, Arctous rubra, Aulacomnium acuminatum, Aulacomnium turgidum, Barbilophozia barbata, Bistorta plumosa, Bistorta vivipara, Campylium stellatum, Cardamine bellidifolia [s. bellidifolia], Carex bigelowii, Carex vaginata, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia coccifera s. lat., Cladonia gracilis s. lat., Cladonia pleurota, Cladonia pyxidata, Cladonia rangiferina, Cyrtomnium hymenophyllum, Dactylina arctica, Dicranum spadiceum, Dryas integrifolia, Equisetum arvense, Eriophorum triste, Eutrema edwardsii, Flavocetraria cucullata, Hylocomium splendens, Hypnum bambergeri, Luzula nivalis, Masonhalea richardsonii, Montia vassilievii s. vassilievii, Ochrolechia upsaliensis, Pedicularis capitata, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Peltigera canina, Polytrichum juniperinum, Ptilidium ciliare, Pyrola asarifolia [s. asarifolia], Pyrola grandiflora, Rhytidium rugosum, Salix reticulata, Saussurea angustifolia, Saxifraga hirculus s. propinqua, Sphagnum girgensohnii, Sphagnum rubellum, Stellaria longipes taxon laeta, Tephroseris frigida, Thamnolia vermicularis s. subuliformis, Tomentypnum nitens, Vaccinium uliginosum"
25,SWT-25,25,19890806,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624428,-149.609398,Braun-Blanquet Name,Sphagno-Eriophoretum vaginati typicum Walker et al. 1994,Dry nonacidic alpine tundra (Dryas octopetala),36,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-25_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-25_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-25_soils.jpg,"Andromeda polifolia, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Carex bigelowii, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia rangiferina, Dactylina arctica, Dicranum acutifolium, Dicranum groenlandicum, Dicranum spadiceum, Empetrum nigrum, Eriophorum vaginatum, Flavocetraria cucullata, Hylocomium splendens, Pedicularis labradorica, Pedicularis oederi, Peltigera canina, Rhododendron tomentosum s. decumbens, Rubus chamaemorus, Salix pulchra, Salix reticulata, Sphagnum aongstroemii, Sphagnum balticum, Sphagnum fimbriatum, Sphagnum girgensohnii, Sphagnum lenense, Sphagnum rubellum, Sphenolobus minutus, Tomentypnum nitens, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
26,SWT-26,26,19890806,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623509,-149.611743,Braun-Blanquet Name,Sphagno-Eriophoretum vaginati typicum Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",39,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-26_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-26_soils.jpg,,"Aulacomnium turgidum, Betula nana, Bistorta plumosa, Carex bigelowii, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia pleurota, Cladonia rangiferina, Dactylina arctica, Dicranum groenlandicum, Dicranum spadiceum, Empetrum nigrum, Eriophorum vaginatum, Flavocetraria cucullata, Hylocomium splendens, Masonhalea richardsonii, Nephroma arcticum, Pedicularis labradorica, Pedicularis lapponica, Peltigera aphthosa, Peltigera canina, Polytrichum strictum, Rhododendron tomentosum s. decumbens, Rubus chamaemorus, Salix pulchra, Sphagnum angustifolium, Sphagnum aongstroemii, Sphagnum balticum, Sphagnum girgensohnii, Sphagnum rubellum, Sphagnum warnstorfii, Sphenolobus minutus, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
27,SWT-27,27,19890806,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623723,-149.617057,Field Name,Salix pulchra-Sphagnum squarrosum,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),14,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-27_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-27_soils.jpg,,"Anemone richardsonii, Betula nana, Calliergon stramineum, Eriophorum angustifolium, Petasites frigidus, Pohlia andrewsii, Rubus chamaemorus, Salix pulchra, Scapania paludicola, Sphagnum fimbriatum, Sphagnum girgensohnii, Sphagnum squarrosum, Sphagnum warnstorfii, Warnstorfia exannulata"
28,SWT-28,28,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632,-149.633,Field Name,Salix lanata-Salix alaxensis,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",34,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-28_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-28_soils.jpg,,"Anemone richardsonii, Arctagrostis latifolia, Aulacomnium palustre, Betula nana, Brachythecium groenlandicum, Bryum pseudotriquetrum, Calliergon giganteum, Campylium stellatum, Carex aquatilis, Carex membranacea, Carex riishirensis, Carex saxatilis, Climacium dendroides, Dasiphora fruticosa, Dodecatheon frigidum, Equisetum arvense, Equisetum scirpoides, Hylocomium splendens, Hypnum lindbergii, Hypnum pratense, Limprichtia revolvens, Micranthes nelsoniana, Paludella squarrosa, Petasites frigidus, Philonotis fontana, Plagiomnium ellipticum, Polemonium acutiflorum, Rubus acaulis, Rubus chamaemorus, Salix richardsonii, Sanionia uncinata, Saxifraga cernua, Tomentypnum nitens, Valeriana capitata"
29,SWT-29,29,19890816,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624858,-149.599793,Field Name,Carex aquatilis-Eriphorum angustifolium,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),12,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-29_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-29_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-29_plotclose-up.jpg,"Caltha palustris s. radicans, Cardamine polemonioides, Carex aquatilis, Chrysosplenium tetrandrum, Eriophorum angustifolium, Limprichtia revolvens, Micranthes foliolosa, Pedicularis albolabiata, Saxifraga cernua, Scorpidium scorpioides, Stellaria longipes taxon laeta, Wilhelmsia physodes"
30,SWT-30,30,19890816,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624806,-149.599365,Field Name,Arctophila fulva-Hippuris vulgaris,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",6,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-30_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-30_plotclose-up.jpg,,"Arctophila fulva, Caltha palustris s. radicans, Coptidium pallasii, Hippuris vulgaris, Ranunculus gmelinii s. gmelinii, Scorpidium scorpioides"
31,SWT-31,31,19890823,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624248,-149.59134,Field Name,Poa glauca-Ranunculus pedatifidus,Aquatic grass  marshes (Arctophila fulva),29,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-31_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-31_soils.jpg,,"Abietinella abietina, Anemone lithophila, Arctous alpina, Arnica angustifolia s. alpina, Arnica lessingii, Bryum argenteum, Calamagrostis purpurascens s. purpurascens, Carex obtusata, Ceratodon purpureus, Cladonia pyxidata, Didymodon rigidulus v. icmadophilus, Draba species, Dryas octopetala, Encalypta rhaptocarpa, Flavocetraria cucullata, Flavocetraria nivalis, Kobresia myosuroides, Micranthes reflexa, Pedicularis capitata, Peltigera canina, Poa alpina, Poa glauca, Poa sp. aff. laxa, Pohlia cruda, Potentilla arenosa s. arenosa, Potentilla nivea, Rhytidium rugosum, Stellaria longipes taxon laeta, Trisetum spicatum"
32,SWT-32,32,19890813,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623708,-149.616568,Braun-Blanquet Name,Sphagno-Eriophoretum vaginati typicum Walker et al. 1994,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",38,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-32&35_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-32&35_plots.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-32_soils.jpg,"Aulacomnium turgidum, Betula nana, Bistorta plumosa, Carex bigelowii, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia rangiferina, Dactylina arctica, Dicranum elongatum, Dicranum groenlandicum, Dicranum scoparium, Dicranum spadiceum, Empetrum nigrum, Eriophorum vaginatum, Flavocetraria cucullata, Hylocomium splendens, Masonhalea richardsonii, Peltigera aphthosa, Petasites frigidus, Polytrichum juniperinum, Rhododendron tomentosum s. decumbens, Rhytidium rugosum, Rubus chamaemorus, Salix pulchra, Sphagnum angustifolium, Sphagnum balticum, Sphagnum girgensohnii, Sphagnum lenense, Sphagnum rubellum, Stereocaulon alpinum, Tetralophozia setiformis, Thamnolia vermicularis s. subuliformis, Tomentypnum nitens, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
33,SWT-33,33,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632102,-149.631972,Field Name,Salix lanata-Salix alaxensis,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",52,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-33_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-33_soils.jpg,,"Andromeda polifolia, Anemone parviflora, Anemone richardsonii, Anticlea elegans, Arctagrostis latifolia, Arctous rubra, Arnica lessingii, Betula nana, Bistorta plumosa, Bistorta vivipara, Bryum pseudotriquetrum, Bryum species, Campylium stellatum, Carex aquatilis, Carex bigelowii, Carex membranacea, Carex saxatilis, Carex scirpoidea, Carex vaginata, Climacium dendroides, Cyrtomnium hymenophyllum, Dasiphora fruticosa, Distichium capillaceum, Ditrichum flexicaule, Dodecatheon frigidum, Equisetum arvense, Festuca altaica, Gentianella propinqua s. arctophila, Hylocomium splendens, Hypnum lindbergii, Hypnum pratense, Limprichtia revolvens, Lycopodium annotinum, Marchantia polymorpha s. montivagans, Mnium species, Plagiochila arctica, Poa arctica, Pohlia cruda, Polemonium acutiflorum, Pyrola grandiflora, Salix chamissonis, Salix reticulata, Salix richardsonii, Sanionia uncinata, Selaginella selaginoides, Senecio lugens, Solidago multiradiata s. multiradiata, Sphagnum rubellum, Thalictrum alpinum, Tomentypnum nitens, Vaccinium uliginosum, Valeriana capitata"
34,SWT-34,34,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632482,-149.631924,Field Name,Carex podocarpa-Dodocatheon frigidum,Dry nonacidic alpine tundra (Dryas octopetala),65,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-34_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-34_soils.jpg,,"Andromeda polifolia, Anemone richardsonii, Arctous rubra, Aulacomnium palustre, Aulacomnium turgidum, Barbilophozia barbata, Bistorta vivipara, Bryum pseudotriquetrum, Campylium stellatum, Carex aquatilis, Carex bigelowii, Carex capillaris, Carex membranacea, Carex riishirensis, Cassiope tetragona [s. tetragona], Catoscopium nigritum, Cetraria islandica, Cladonia arbuscula s. lat., Cladonia pleurota, Cladonia rangiferina, Cladonia subfurcata, Climacium dendroides, Cyrtomnium hymenophyllum, Dactylina arctica, Dicranum acutifolium, Dicranum groenlandicum, Distichium capillaceum, Ditrichum flexicaule, Dodecatheon frigidum, Dryas integrifolia, Equisetum arvense, Equisetum scirpoides, Flavocetraria cucullata, Flavocetraria nivalis, Gentianella propinqua s. arctophila, Hylocomium splendens, Hypnum pratense, Ochrolechia upsaliensis, Paludella squarrosa, Parnassia palustris, Pedicularis albolabiata, Pedicularis capitata, Pedicularis interior, Petasites frigidus, Plagiomnium ellipticum, Pohlia cruda, Polemonium acutiflorum, Polytrichum juniperinum, Rhododendron lapponicum, Rhododendron tomentosum s. decumbens, Rhytidium rugosum, Salix chamissonis, Salix reticulata, Sanionia uncinata, Saxifraga hirculus s. propinqua, Senecio lugens, Sphagnum rubellum, Stellaria longipes taxon laeta, Thalictrum alpinum, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus, Valeriana capitata"
35,SWT-35,35,19890813,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623707,-149.616606,Field Name,Luzula arctica-Juncus biglumis,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",23,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-32&35_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-32&35_plots.jpg,,"Anthelia juratzkana, Aulacomnium turgidum, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Cladonia rangiferina, Dactylina arctica, Empetrum nigrum, Flavocetraria cucullata, Hylocomium splendens, Juncus biglumis, Kalmia procumbens, Luzula nivalis, Peltigera aphthosa, Pohlia cruda, Polytrichum juniperinum, Rhododendron tomentosum s. decumbens, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Vaccinium vitis-idaea s. minus"
36,SWT-36,36,19890822,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623754,-149.61717,Braun-Blanquet Name,Sphagno-Eriophoretum vaginati betuletosum nanae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",22,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-36_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-36_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-36_soils.jpg,"Aulacomnium palustre, Aulacomnium turgidum, Betula nana, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Dicranum groenlandicum, Eriophorum angustifolium, Flavocetraria cucullata, Hylocomium splendens, Luzula wahlenbergii, Pedicularis labradorica, Pedicularis lapponica, Petasites frigidus, Polytrichum juniperinum, Rhododendron tomentosum s. decumbens, Rubus chamaemorus, Salix pulchra, Sphagnum angustifolium, Sphagnum girgensohnii, Sphagnum rubellum, Sphagnum teres, Vaccinium vitis-idaea s. minus"
37,SWT-37,37,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.631834,-149.636718,Field Name,Carex chordorrhiza-Carex rariflora,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",19,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-37_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-37_soils.jpg,,"Andromeda polifolia, Bistorta vivipara, Campylium stellatum, Carex aquatilis, Carex capillaris, Carex chordorrhiza, Carex saxatilis, Catoscopium nigritum, Dryas integrifolia, Fissidens osmundoides, Juncus triglumis, Kobresia simpliciuscula, Limprichtia revolvens, Pedicularis interior, Salix fuscescens, Scorpidium scorpioides, Tomentypnum nitens, Trichophorum cespitosum [s. cespitosum], Trichostomum arcticum"
38,SWT-38,38,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.631887,-149.636718,Field Name,Trichophorum caespitosum-Tomenthypnum nitens,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),50,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-38_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-38_soils.jpg,,"Andromeda polifolia, Arctous rubra, Asahinea chrysantha, Aulacomnium acuminatum, Aulacomnium turgidum, Barbilophozia barbata, Bistorta vivipara, Bryocaulon divergens, Bryum pseudotriquetrum, Campylium stellatum, Carex aquatilis, Carex atrofusca, Carex capillaris, Carex glacialis, Carex rariflora, Carex scirpoidea, Cinclidium latifolium, Cinclidium subrotundum, Cladonia acuminata, Cladonia arbuscula s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Dactylina arctica, Distichium capillaceum, Ditrichum flexicaule, Dryas integrifolia, Empetrum nigrum, Equisetum variegatum s. variegatum, Fissidens osmundoides, Flavocetraria cucullata, Flavocetraria nivalis, Frullania tamarisci, Hylocomium splendens, Kobresia simpliciuscula, Limprichtia revolvens, Oncophorus wahlenbergii, Pedicularis lanata, Pedicularis oederi, Rhododendron lapponicum, Rhytidium rugosum, Salix arctica, Salix chamissonis, Salix fuscescens, Salix reticulata, Salix richardsonii, Scapania species, Tofieldia pusilla, Tomentypnum nitens, Trichophorum cespitosum [s. cespitosum], Vaccinium uliginosum"
39,SWT-39,39,19890808,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.632351,-149.637083,Braun-Blanquet Name,Dryado integrifoliae-Caricetum bigelowii caricetosum membranaceae Walker et al. 1994,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",47,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-39_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-39_soils.jpg,,"Alectoria ochroleuca, Anemone parviflora, Arctous rubra, Aulacomnium acuminatum, Aulacomnium turgidum, Bistorta vivipara, Bryum pseudotriquetrum, Campylium stellatum, Carex bigelowii, Carex membranacea, Catoscopium nigritum, Cetraria islandica, Cladonia amaurocraea, Cladonia coccifera s. lat., Cladonia gracilis s. lat., Cladonia pyxidata, Cladonia rangiferina, Cladonia uncialis, Dicranum groenlandicum, Dicranum spadiceum, Distichium capillaceum, Ditrichum flexicaule, Draba species, Dryas integrifolia, Equisetum arvense, Equisetum scirpoides, Equisetum variegatum s. variegatum, Eriophorum vaginatum, Flavocetraria cucullata, Hylocomium splendens, Lagotis glauca s. minor, Masonhalea richardsonii, Packera heterophylla, Pedicularis capitata, Pedicularis lanata, Pedicularis oederi, Peltigera aphthosa, Poa arctica, Rhododendron lapponicum, Rhytidium rugosum, Salix arctica, Salix reticulata, Thalictrum alpinum, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Vaccinium uliginosum"
